ID;Nummer;pbk;Möglichkeit1;Möglichkeit2;Möglichkeit3;Hinweise zu den Kriterien
1;217;Vergleichen als naturwissenschaftliche Methode nutzen;Protokoll Alkalimetalle;Protokoll Flammenfärbung;Protokoll Halogenid-Nachweis;
2;224;chemische Sachverhalte unter Verwendung der Fachsprache und gegebenenfalls mithilfe von Modellen und Darstellungen beschreiben, veranschaulichen oder erklären;Protokoll Alkalimetalle;Protokoll Flammenfärbung;Protokoll Halogenid-Nachweis;
3;215;qualitative und quantitative Experimente unter Beachtung von Sicherheits- und Umweltaspekten durchführen, beschreiben;;;;auftrennen sonst sinnlos
4;215;qualitative und quantitative Experimente unter Beachtung von Sicherheits- und Umweltaspekten protokollieren und auswerten;Protokoll Alkalimetalle;Protokoll Flammenfärbung;Protokoll Halogenid-Nachweis;Formal nach Musterprotokoll
5;216;Laborgeräte benennen damit umgehen;Protokoll Alkalimetalle;Protokoll Flammenfärbung;Protokoll Halogenid-Nachweis;Fachsprache
6;211;chemische Phänomene erkennen, beobachten und beschreiben;Protokoll Alkalimetalle;Protokoll Flammenfärbung;Protokoll Halogenid-Nachweis;Inhalt Beobachtung
7;212;Fragestellungen, gegebenenfalls mit Hilfsmitteln, erschließen;;;;
8;213;Hypothesen bilden;;;;
9;214;Experimente zur Überprüfung von Hypothesen planen;;;;
10;218;aus Einzelerkenntnissen Regeln ableiten und deren Gültigkeit überprüfen;;Protokoll Alkalimetalle;;
11;219;Modellvorstellungen nachvollziehen und einfache Modelle entwickeln;Stopp-Motion-Video Salze auflösen;Stopp-Motion-Video Elektrostatik;;
12;2110;Modelle und Simulationen nutzen, um sich naturwissenschaftliche Sachverhalte zu erschließen;Stopp-Motion-Video Salze auflösen;Stopp-Motion-Video Elektrostatik;;
13;2111;die Grenzen von Modellen aufzeigen;;;;
14;2112;quantitative Betrachtungen und Berechnungen zur Deutung und Vorhersage chemischer Phänomene einsetzen;;;;
15;221;in unterschiedlichen analogen und digitalen Medien zu chemischen Sachverhalten und in diesem Zusammenhang gegebenenfalls zu bedeutenden Forscherpersönlichkeiten recherchieren;ChatGPT Text zu Batterie-Bau;;;
16;222;Informationen themenbezogen und aussagekräftig auswählen;Concept-Map;;;
17;223;Informationen in Form von Tabellen, Diagrammen, Bildern und Texten darstellen und Darstellungsformen ineinander überführen;;;;
18;224;chemische Sachverhalte unter Verwendung der Fachsprache und gegebenenfalls mithilfe von Modellen und Darstellungen beschreiben, veranschaulichen oder erklären;Protokoll AlBr3;;;Zusammenhang Tabelle Ionisierungsenergien
19;225;fachlich korrekt und folgerichtig argumentieren;Protokolle;Erklärvideos;;
20;226;Zusammenhänge zwischen Alltagserscheinungen und chemischen Sachverhalten herstellen und dabei Alltagssprache bewusst in Fachsprache übersetzen;Protokoll Eigenschaften von Salzen;;;
21;227;den Verlauf und die Ergebnisse ihrer Arbeit dokumentieren sowie adressatenbezogen präsentieren;Protokolle;Präsentation Videos;Präsentation Aufgaben;
22;228;die Bedeutung der Wissenschaft Chemie und der chemischen Industrie, auch im Zusammenhang mit dem Besuch eines außerschulischen Lernorts, für eine nachhaltige Entwicklung exemplarisch darstellen;;;;
23;229;ihren Standpunkt in Diskussionen zu chemischen Themen fachlich begründet vertreten;;;;
24;2210;als Team ihre Arbeit planen, strukturieren, reflektieren und präsentieren;Vertonung Erklärvideo;Erstellen Stopp-Motion-Video;Batterie-Bau;
25;231;in lebensweltbezogenen Ereignissen chemische Sachverhalte erkennen;;;;
26;232;Bezüge zu anderen Unterrichtsfächern aufzeigen;Atombau;;;
27;233;die Wirksamkeit von Lösungsstrategien bewerten;;;;
28;234;die Richtigkeit naturwissenschaftlicher Aussagen einschätzen;;;;
29;235;die Aussagekraft von Darstellungen in Medien bewerten;;;;
30;236;Verknüpfungen zwischen persönlich oder gesellschaftlich relevanten Themen und Erkenntnissen der Chemie herstellen, aus unterschiedlichen Perspektiven diskutieren und bewerten;;;;
31;237;fachtypische und vernetzte Kenntnisse und Fertigkeiten nutzen und sich dadurch lebenspraktisch bedeutsame Zusammenhänge erschließen;;;;
32;238;Anwendungsbereiche oder Berufsfelder darstellen, in denen chemische Kenntnisse bedeutsam sind;;;;
33;239;ihr eigenes Handeln unter dem Aspekt der Nachhaltigkeit einschätzen;;;;
34;2310;Pro- und Kontra-Argumente unter Berücksichtigung ökologischer und ökonomischer Aspekte vergleichen und bewerten;;;;
35;2311;ihr Fachwissen zur Beurteilung von Risiken und Sicherheitsmaßnahmen anwenden;;;;
;;;;;;
;32211;Einen Versuch unter Beachtung der Sicherheitsbestimmungen und der Forschungsfrage planen;ungenau, wird bereits abgedeckt;;;
;32211;Einen Versuch unter Beachtung der Sicherheitsbestimmungen durchführen;Praktikum;;;
;32211;Einen Versuch unter Beantwortung der Forschungsfrage im Protokoll darstellen;ungenau, wird bereits abgedeckt;;;
;216;Laborgeräte sachgerecht einsetzen;Praktikum;;;
;215;sicher experimentieren;bereits abgedeckt;;;
;215;zu Ordnung und Sauberkeit der Arbeitsumgebung beitragen;Praktikum;;;
;32111;Eigenschaften eines Stoffes experimentell untersuchen;ungenau, wird bereits abgedeckt;;;
;32111;Eigenschaften eines Stoffes in einem Protokoll beschreiben;ungenau, wird bereits abgedeckt;;;
;;;;;;
;;nicht gut in Abgabeformaten abzuprüfen oder leichter im Unterrichtsgepsräch abprüfbar;;;;
;;Anknüpfung an Verlaufsplan noch nicht gefunden;;;;
;;Anknüpfung noch nicht so gut;;;;
;;Teile davon umgesetzt;;;;
