ID;BP-Nummer;Kompetenz;Thema;Anmerkungen
1;32125;Die Grundbausteine eines Atoms (Proton, Neutron, Elektron) und deren Eigenschaften benennen;1;
2;32125;Atome im Schalenmodell darstellen;1;
3;32127;Die Definition des Begriffs Periode (Periodensystem der Elemente) nennen;1;
4;32127;Die Definition des Begriffs Hauptgruppe (Periodensystem der Elemente) nennen;1;
5;32127;Die Definition des Begriffs Ordnungszahl (Periodensystem der Elemente) nennen;1;
6;32125;Die Definition des Begriffs Ionisierungsenergie  nennen;1;
7;32125;Die Definition des Begriffs Außenelektronen / Valenzelektronen  nennen;1;
8;32125;Die Größe von Atomkern und Atomhülle vergleichen;1;
9;32126;Den Rutherford'schen Streuversuch beschreiben;1;
10;32126;"Den Aufbau eines Atoms im Rutherford'schen ""Kern-Hülle-Modell"" erläutern (erläutern bedeutet: anhand von Beispielen wie einer Skizze erklären)";1;
11;32126;"Die Entwicklung des ""Kern-Hülle-Modells"" anhand der Versuchsergebnisse des Streuversuchs erläutern";1;
12;32126;Die Größe von Teilchen (Atome, Moleküle, Ionen) und sichtbaren Objekten vergleichen;1;
13;32125;mit dem Schalenmodell und dem Energiestufenmodell die Atomhülle beschreiben;1;
14;32127;den Zusammenhang zwischen Atombau und Stellung der Atome im Periodensystem der Elemente erklären;1;
15;32112;Eigenschaften von Salzen nennen (u.a. Kochsalz, Natriumhydroxid, Magnesiumoxid);2;"SuS würden für jedes Salz ""Wasserlöslichkeit"" angeben"
16;32112;Eigenschaften der Halogene nennen (u.a. Chlor);2;
17;32215;Die Oxidation als Elektronenabgabe benennen;5;
18;32215;Die Reduktion als Elektronenaufnahme benennen;5;
19;32215;Die Redoxreaktion als Elektronenübergangsreaktion benennen;5;
20;32215;Ein Reduktionsmittel als Elektronendonator benennen;5;
21;32215;Ein Oxidationsmittel als Elektronenakzeptor benennen;5;
22;32131;Einen Versuch beschreiben, mit dem man eine Eigenschaft von Salzen untersuchen kann;2;
23;32127;Die Edelgasregel (Oktettregel) beschreiben;2;
24;32127;Mithilfe der Edelgasregel das Schalenmodell geladener Atome (Ionen) von Hauptgruppenelementen aufstellen;2;
25;32127;Die Ladung eines Ions mithilfe der Edelgasregel erklären.;2;
26;1;Die Definition von Kationen und Anionen nennen;2;
27;32127;Die Benennung von Kationen erläutern (Metalle);2;
28;32127;Die Benennung von Anionen erläutern (Oxide und Halogenide);2;
29;1;Atome und Ionen von Hauptgruppenelementen mithilfe der Lewisformel darstellen;2;
30;32131;Mithilfe eines geeigneten Modells (Schalenmodell, Lewis-Formel, Energiestufenmodell) die Bildung eines Salzes aus einem Alkalimetall und einem Halogen erläutern.;2;
31;1;Die Bildung eines Salzes in einem Energiediagramm beschreiben;2;
32;32224;Mithilfe der Edelgasregel die Ladungen der Ionen eines Salzes aus der Angabe einer Verhältnisformel (z.B. NaCl, CaCl2usw.) ermitteln;2;ZusatzKompetenz für Nebengruppensalze
33;32216;Einen Nachweis für Halogenid-Ionen beschreiben;2;
34;32131;Erklären, wie Ionen eines Salzes im Feststoff angeordnet sind;2;
35;32225;Die Verhältnisformel eines Salzes aus den Ladungen seiner Ionen ermitteln;2;
36;32225;Die Verhältnisformel eines Salzes aus seinem Namen ermitteln;2;
37;32225;Die Ladungen der Ionen aus dem Namen eines Salzes ermitteln;2;
38;1;Salze anhand ihrer Verhältnisformel benennen;2;
39;1;Salze anhand ihrer Ionen benennen;2;
40;32131;Erklären, warum Salze spröde sind;2;
41;32131;Erklären, warum Salze so hohe Schmelztemperaturen haben;2;
42;1;Begründen, warum manche Salze schlechter wasserlöslich sind als andere;2;
43;32137;Salzen aufgrund ihrer Stoffeigenschaften die richtigen Stoffteilchen (Verhältnisformeln) und Bindungstypen (Ionenbindung) zuordnen aufgrund ihrer Stoffeigenschaften Stoffteilchen und Bindungstypen zuordnen;2;
44;321212;Begründen, warum Salze  als Feststoff keinen Strom leiten, aber in Wasser gelöst und geschmolzen dagegen schon;2;
45;32215;Die Teilgleichungen für Oxidation und Reduktion bei der Synthese eines Salzes aufstellen und daraus die Gesamtgleichung aufstellen;5;
46;321311;Mithilfe von Ionenradien und Ionenladung die unterschiedlichen Schmelztemperaturen von verschiedenen Salzen begründen;2;
47;32215;Begründen, warum man an einer Redoxreaktion das Donator-Akzeptor-Prinzip deutlich machen kann;2;
48;32112;Eigenschaften der Alkalimetalle nennen (u.a. Natrium);3;
49;32137;flüchtigen Stoffen aufgrund ihrer Stoffeigenschaften die richtigen Stoffteilchen (einzelne Atome oder Moleküle) und Bindungstypen (Elektronenpaarbindung) zuordnen;3;
50;32133;Atome und Moleküle mithilfe der Lewis-Schreibweise darstellen;3;
51;32133;Die Definition eines bindenden Elektronenpaars nennen;3;
52;32133;Die Definition eines nicht-bindenden Elektronenpaars nennen;3;
53;32133;Beispiele für Moleküle mit Einfach- und Mehrfachbindungen nennen;3;
54;32134;Die Definition der Elektronegativität nennen;3;
55;32133;Strukturformeln (Lewis-Formeln) von Molekülen mithilfe der Edelgasregel erläutern;3;
56;32135;Die Bindungswinkel im CH4-Molekül, im NH3-Molekül, im CO2-Molekül und im H2O-Molekül erklären;3;
57;32134;Erklären, was man unter einer polaren Elektronenpaarbindung versteht.;3;
58;;erklären, wie Teilladungen/Partialladungen in einem Molekül zustande kommen.;3;
59;32134;beschreiben, was Teilladungen/Partialladungen in einem Molekül sind.;3;
60;32136;anhand der Strukturformel erläutern, ob ein Molekül ein Dipol-Molekül ist oder nicht.;3;
61;32138;zwischenmolekulare Wechselwirkungen erklären (Wechselwirkungen zwischen temporären Dipolen, Wechselwirkungen zwischen permanenten Dipolen, Wasserstoffbrücken);3;
62;32138; zwei Typen von zwischenmolekularen Kräften beschreiben und vergleichen.;3;
63;1;Den Zusammenhang zwischen zwischenmolekularen Wechselwirkungen und der Siedetemperatur erläuterrn;3;
64;321212;den Lösungsvorgang von Salzen in Wasser im Teilchenmodell beschreiben;3;
65;32138;begründen, weshalb ein Wasserstrahl von einem elektrisch geladenen Stab abgelenkt wird.;3;
66;1;Den Satz von Avogadro beschreiben;3;
67;1;Erklären, warum man bei Gasen direkt vom Volumen direkt Teilchenanzahl schließen kann (unabhängig vom Stoff);3;
68;32137;Metallen aufgrund ihrer Stoffeigenschaften die richtigen Stoffteilchen (Atome im Gitter) und Bindungstypen (Metallbindung) zuordnen;4;
69;32132;Die Metallbindung erklären;4;
70;32132;elektrische Leitfähigkeit als typische Eigenschaft von Metallen begründen;4;
71;32132;Duktilität (Verformbarkeit) als typische Eigenschaft von Metallen begründen;4;
72;32132;Mithilfe geeigneter Darstellungen begründen, wie Metallatome in Metallen die Edelgasregel erfüllen;4;
73;32234;Die bei einer Elektrolyse ablaufenden chemischen Prozesse erklären;5;
74;32234;Beschreiben, wie ein chemischer Energiespeicher (Batterie) funktioniert;5;
75;32128;Die Teilchen nennen, die für die alkalischen Eigenschaften einer Lösung verantwortlich sind;5;
76;32128;Die Teilchen nennen, die für die sauren Eigenschaften einer sauren Lösung verantwortlich sind;5;
77;32118;pH-Werte von 0-14 dem Begriffen sauer, neutral und alkalisch zuordnen;5;
78;32133;Die Lewis-Formeln der Molekülionen Ammonium-Ion, Hydroxid-Ion und Oxonium-Ion darstellen;5;
79;32215;Beschreiben, was man unter einer Säure-Base-Reaktion versteht;5;
80;32215;Die Reaktion zwischen einer Säure und einer Lauge benennen;5;
81;32216;Einen Versuch beschreiben, mit dem man zeigen kann, dass Hydroxid-Ionen in wässriger Lösung für alkalische Eigenschaften verantwortlich sind;5;
82;32118;Erklären, warum alkalische Lösungen elektrisch leitfähig sind;5;
83;32133;Die Formalladung von Atomen in Molekülen ermitteln;5;
84;32133;Mithilfe von Formalladungen ermitteln, ob ein Molekül geladen ist (Molekül-Ion) oder nicht (neutrales Molekül);5;
85;32223;Protononenübergangsreaktionen von Wasser mit Ammoniak und Chlorwasserstoff aufstellen;5;
86;32223;Die Reaktionsgleichung einer Neutralisationsreaktionen aufstellen;5;
